Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/06/19,2019/06/19 14:30,2923.59,26513.62,7958.86,133.62,54.34,185.55,171824,101.94,102.08,,,,,,,
2019/06/19,2019/06/19 15:30,2929.04,26545.19,7986.80,134.29,54.47,186.83,118935,102.08,102.49,,,,,,,
2019/06/19,2019/06/19 16:00,2926.47,26504.00,7987.32,134.41,54.44,187.48,1332000,102.49,102.39,,,,,,,
2019/06/20,2019/06/20 10:30,2948.95,26697.01,8057.98,135.43,55.43,189.06,705964,102.39,103.81,,,,,,,
2019/06/20,2019/06/20 11:30,2943.35,26676.16,8029.91,135.35,55.30,188.90,194758,103.91,103.21,,,,,,,
2019/06/20,2019/06/20 12:30,2939.98,26621.21,8020.43,134.90,55.16,188.31,150496,103.21,102.67,,,,,,,
2019/06/20,2019/06/20 13:30,2947.63,26696.23,8037.02,135.03,55.36,188.47,101896,102.67,103.92,,,,,,,
2019/06/20,2019/06/20 14:30,2947.31,26696.30,8034.11,134.99,55.26,188.64,63078,103.92,103.10,,,,,,,
2019/06/20,2019/06/20 15:30,2951.93,26730.93,8045.23,135.60,55.50,189.09,58229,103.02,103.00,,,,,,,
2019/06/20,2019/06/20 16:00,2954.18,26753.17,8051.34,135.66,55.68,189.53,1172773,103.00,102.30,,,,,,,
2019/06/21,2019/06/21 10:30,2951.93,26778.65,8036.09,135.75,56.09,190.22,372292,102.30,99.35,,,,,,,
2019/06/21,2019/06/21 11:30,2957.85,26841.00,8053.94,136.08,56.19,191.34,150940,99.35,99.98,,,,,,,
2019/06/21,2019/06/21 12:30,2952.60,26793.39,8032.51,135.80,55.76,190.69,229032,99.98,97.84,,,,,,,
2019/06/21,2019/06/21 13:30,2953.36,26798.65,8040.07,135.83,55.77,190.79,111883,97.84,99.65,,,,,,,
2019/06/21,2019/06/21 14:30,2953.20,26787.64,8033.29,135.51,55.83,190.72,86578,99.64,99.28,,,,,,,
2019/06/21,2019/06/21 15:30,2955.04,26787.82,8042.19,135.87,55.88,191.59,114672,99.28,99.63,,,,,,,
2019/06/21,2019/06/21 16:00,2950.50,26719.33,8031.71,135.68,55.31,191.14,1904373,99.74,100.47,,,,,,,
2019/06/24,2019/06/24 10:30,2953.43,26777.53,8035.28,136.25,55.11,193.04,769894,100.47,94.11,,,,,,,
2019/06/24,2019/06/24 11:30,2952.38,26767.55,8029.56,136.62,55.20,193.26,746496,94.13,92.35,,,,,,,
2019/06/24,2019/06/24 12:30,2951.09,26764.26,8027.54,137.02,55.21,192.91,376808,92.31,91.53,,,,,,,
2019/06/24,2019/06/24 13:30,2950.23,26754.21,8022.28,136.76,55.18,193.32,345498,91.53,92.69,,,,,,,
2019/06/24,2019/06/24 14:30,2947.71,26738.94,8014.14,136.38,55.22,192.94,388366,92.69,91.16,,,,,,,
2019/06/24,2019/06/24 15:30,2947.13,26748.05,8009.72,136.48,55.48,192.56,304846,91.16,90.35,,,,,,,
2019/06/24,2019/06/24 16:00,2945.35,26727.54,8005.70,136.48,55.46,192.60,3074407,90.35,89.41,,,,,,,
2019/06/25,2019/06/25 10:30,2938.03,26662.33,7971.43,134.36,55.35,190.17,556040,89.41,88.87,,,,,,,
2019/06/25,2019/06/25 11:30,2935.36,26686.47,7952.01,133.58,55.12,189.89,452082,88.87,87.26,,,,,,,
2019/06/25,2019/06/25 12:30,2934.89,26679.96,7953.86,133.28,55.09,189.96,168101,87.26,88.01,,,,,,,
2019/06/25,2019/06/25 13:30,2930.15,26640.48,7931.18,132.67,54.81,189.68,155266,88.02,87.04,,,,,,,
2019/06/25,2019/06/25 14:30,2924.19,26587.64,7909.02,132.12,54.67,189.38,165921,87.04,86.06,,,,,,,
2019/06/25,2019/06/25 15:30,2922.50,26573.21,7893.57,132.01,54.60,188.85,326128,86.06,84.84,,,,,,,
2019/06/25,2019/06/25 16:00,2917.38,26548.22,7884.72,132.18,54.39,188.84,1916935,84.85,85.03,,,,,,,
2019/06/26,2019/06/26 10:30,2923.43,26613.98,7945.87,133.69,54.79,190.53,549435,85.03,85.55,,,,,,,
